"N","Avg","Type"
5,23.848,"Asym"
10,17.852,"Asym"
15,17.68,"Asym"
20,15.246,"Asym"
25,14.688,"Asym"
30,12.685333333333332,"Asym"
35,14.806857142857142,"Asym"
40,13.003,"Asym"
45,16.20888888888889,"Asym"
50,13.6432,"Asym"
55,12.74690909090909,"Asym"
60,14.674666666666667,"Asym"
65,14.017846153846154,"Asym"
70,14.781142857142857,"Asym"
75,15.453866666666666,"Asym"
80,14.8665,"Asym"
85,13.633882352941177,"Asym"
90,14.430666666666667,"Asym"
95,13.944842105263158,"Asym"
5,15.296,"Con"
10,5.244,"Con"
15,11.512,"Con"
20,5.144,"Con"
25,10.8704,"Con"
30,5.216,"Con"
35,10.675428571428572,"Con"
40,5.196,"Con"
45,10.544888888888888,"Con"
50,5.164,"Con"
55,10.496727272727274,"Con"
60,5.1786666666666665,"Con"
65,10.490461538461538,"Con"
70,5.1811428571428575,"Con"
75,10.429333333333334,"Con"
80,5.183,"Con"
85,10.421176470588236,"Con"
90,5.184888888888889,"Con"
95,10.469473684210527,"Con"
5,17.536,"Both"
10,11.388,"Both"
15,13.408,"Both"
20,14.668,"Both"
25,12.5792,"Both"
30,15.346666666666666,"Both"
35,14.12,"Both"
40,11.467,"Both"
45,12.134222222222222,"Both"
50,11.3544,"Both"
55,13.117818181818182,"Both"
60,12.644,"Both"
65,12.104,"Both"
70,12.983428571428572,"Both"
75,12.670933333333334,"Both"
80,15.003,"Both"
85,15.168941176470588,"Both"
90,13.774666666666667,"Both"
95,12.778947368421052,"Both"
